sentence,model_output
The key guiding principle behind the functional design of CCTNS V1.0 is to focus on the critical functionality that provides value to the police personnel at the cutting edge which in turn can improve the outcomes in the areas of “Investigation of Crime” and “Detection of Criminals”.,The key principle is to focus on important functions for police.
"CCTNS V1.0 functionality is designed to focus on delivering value to IOs, records room staff and citizens within the broad crime investigation area.","CCTNS helps police, record keepers, and citizens with investigations."
"After a complaint is initiated, police initiates the investigation process.",Police investigate after a complaint.
The Investigation module of the CCTNS facilitates the investigation process and introduces operational efficiencies by automating most of the tasks that take place after initial entries are made during Registration.,The module helps with investigations and makes things more efficient by doing some work automatically.
Interfacing with the courts during the prosecution of cases is an integral part of the responsibilities of police personnel.,Police officers work with courts during cases.
The Prosecution module of the CCTNS aids this interfacing by providing a platform to record entries of the court interactions.,The prosecution helps with recording court interactions.
"Using the search functionality, police personnel can search for a particular person, type of crime, modus operandi, property etc.",Police find people or things using search.
"It makes reporting easy for police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.",Police can easily report things with this tool.
The police in turn can use it to respond to citizens with very little turnaround time.,Police use it quickly.
It improves overall productivity by helping citizens and police to cut short the drudgery of large amounts of paperwork.,It helps people work faster.
The Navigation module of the CCTNS provides role based landing pages which help in navigating through the CCTNS application.,CCTNS has special pages for different users to help them use the app.
"It shows information such as cases assigned, alerts, pending tasks etc hence helping police personnel to plan better and execute with greater efficiency.",Police get help from this tool to do their job better.
The Configuration module of the CCTNS helps keep the application configured according to the states’ requirements in addition to keeping data elements/rules up to date.,The configuration module keeps the app set up right and updates rules.
can be created updated and deleted.,"Created, updated, deleted."
The non-functional requirements specify the qualitative attributes such as user-friendliness and performance of the system that are critical for the increased user-acceptance of the application.,"The requirements say what makes the system easy to use and fast, which is important for people to like it."
The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,User logs defects/enhancements and tracks them.
"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert.",Send alerts to the user when an action is taken.
The solution should enable the user to track the submitted defect or enhancement request.,Track defects and requests.
"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and age- wise.","View reports by type, status, and age."
"All the actions (create/read/update/delete) that are taken upon the critical entities (case, suspect, property,...) in the system",Actions on important things happen in the system.
"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.",System tracks events automatically and stores info.
"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.",The system keeps records until the case is finished.
"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.",The system makes sure you can see old records when asked.
The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System).,The system can send out audit records for specific situations without changing what is already saved.
This functionality can be used by external auditors who wish to examine or analyse system activity.,External auditors use this for checking system activity.
The System must be able to capture and store violations (i.e.,System captures and stores violatons.
"A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.",User tries to get into something they're not allowed in.
The System must at a minimum be able to provide reports for actions on cases organised:,System give reports about case actions.
The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.,System gives reports about case actions by workstation and network.
The System must allow the user to limit access to cases to specified users or user groups.,The system lets users choose who can see their cases.
The System must allow a user to be a member of more than one group.,System allows user join multiple groups.
The System must allow only admin-users to set up user profiles and allocate users to groups.,Admin-users can set up profiles and group users.
The System should allow a user to stipulate which other users or groups can access cases.,The system lets you choose who can see cases.
